Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Constituency_Type,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage
1962,1,1,MADHAVSINHJI MOKAJI JADEJA,SWA,19699,ABDASA,GEN,53.19,55.67,no,16.4
1962,2,1,GULABSHANKER AMRITLAL,SWA,24209,BHUJ,GEN,54.47,67.02,no,38.49
1962,3,1,MAHARAJ KUMARSHRI HIMTSINHJI VIJAYARAJJISAHEB,SWA,26796,MANDVI,GEN,67.27,67.01,no,34.02
1962,4,1,MULJI PARSOTTAM,SWA,22317,ANJAR,GEN,58.32,51.34,no,17.13
1962,5,1,JADAVJI RAGHAVJI MORABIA,SWA,26113,RAPAR,GEN,53.79,66.06,no,32.11
1962,6,1,RASIKLAL UMEDCHAND PARIKH,INC,23926,DASADA,GEN,55.58,69.51,no,42.23
1962,7,1,ARUNA SHANKER PRASAD DESAI,INC,15338,WADHWAN,GEN,53.82,46.77,no,5.39
1962,8,1,PETHABHAI GANESHBHAI PARMAR,INC,19064,LIMBDI,SC,49.08,67.56,no,45.71
1962,9,1,TRAMBAKLAL MOHANLAL DAVE,INC,16433,CHOTILA,GEN,45.24,55.87,no,15.71
1962,10,1,LABHASHANKER MAGANLAL SHUKLA,INC,17568,DHRANGADHRA,GEN,42.11,67.48,no,43.07
1962,11,1,GOKALDAS DOSABHAI PARMAR,INC,18193,MORVI,GEN,51.84,51.38,no,15.78
1962,12,1,DIGVIJAYSINHJI PRATAPSINHJI,IND,21728,WANKANER,GEN,58.35,60.21,no,29.15
1962,13,1,BABUBHAI PARANJIVAN VAIDYA,IND,15638,RAJKOT,GEN,54.87,39.15,no,7.47
1962,14,1,MANOHARSINHJI PRADUMANSINHJI JADEJA,IND,16151,PADDHARI,GEN,47.88,53.74,no,17.05
1962,15,1,VAJUBHAI MANILAL SHAH,INC,12431,GONDAL,GEN,40.04,69.38,no,38.75
1962,16,1,VASANT PRABHA JAYSHUKHLAL SHAH,INC,11186,JASDAN,GEN,37.43,55.25,no,23.13
1962,17,1,NARANBHAI KALIDAS PATEL,INC,16704,JETPUR,GEN,38.58,84.41,no,71.14
1962,18,1,GOVIND KESAVJI PATEL,INC,16046,DHORAJI,GEN,49.54,64.17,no,32.76
1962,19,1,JAIRAM ANAND PATEL,INC,19974,UPLETA,GEN,53.92,68.54,no,44.27
1962,20,1,NARANDAS PITAMBAR ROPAT,IND,12859,JODIA,GEN,47.21,50.95,no,6.27
1962,21,1,MANJULABEN JAYANTILAL DAVE,INC,12614,JAMNAGAR,GEN,47.37,41.05,no,1.82
1962,22,1,BHANJI BHIMJI DHUDHAGARA,INC,16386,KALAWAD,GEN,34.11,64.21,no,47.15
1962,23,1,NANJI DEVJI SINOJIA,INC,16563,JAMJODHPUR,GEN,37.32,76.89,no,53.77
1962,24,1,HARILAL RAMJI NAKUM,INC,13593,KHAMBHALIA,GEN,32.52,67.46,no,40.47
1962,25,1,HARIDAS JAMNADAS KANANI,INC,15313,DWARKA,GEN,42.1,64.78,no,39.63
1962,26,1,POPATLAL DAHYABHAI KAKKAD,INC,12172,PORBANDAR,GEN,38.56,54.57,no,12.47
1962,27,1,MALDEVJI MANDALKJI ODEDRA,INC,18887,KUTIYANA,GEN,44.79,78.65,no,65.44
1962,28,1,MANHARLALA AMRABHAI CHAVDA,INC,19330,MANAVADAR,SC,43.08,67.53,no,49.63
1962,29,1,THAKARSHI DHANJI LADANI,INC,17200,KESHOD,GEN,41.73,62.84,no,25.67
1962,30,1,KUNDANLAL DIVYAKANT,INC,16170,JUNAGADH,GEN,47.41,55.17,no,34.09
1962,31,1,MADINABEN AKBARBHAI NAGORI,INC,13655,VISAVADAR,GEN,40.95,58.2,no,28.86
1962,32,1,RATIBHAI UKABHAI PATEL,IND,16334,MALIA,GEN,51.35,54.52,no,9.05
1962,33,1,RAMANLAL PRABHUDAS SHAH,INC,21882,SOMNATH,GEN,64.94,56.19,no,14.61
1962,34,1,RATUBHAI MULSHANKAR ADANI,INC,17328,UNA,GEN,53.21,62.98,no,25.97
1962,35,1,KANSAGRA JINA DEVRAJ,INC,19510,BABRA,GEN,43.13,67.13,no,34.26
1962,36,1,SUMITRABAHEN HARIPRASAD BHATT,INC,17473,LATHI,GEN,52.05,65.64,no,37.91
1962,37,1,JIVRAJ NARAYAN MEHTA,INC,17194,AMRELI,GEN,56.88,62.32,no,26.48
1962,38,1,LEUVA PREMJI THOBHAN,INC,28207,DHARI KODINAR,SC,48.29,78.76,no,57.51
1962,39,1,CHHOTALAL TRIBHOVANDAS MEHTA,INC,16963,RAJULA,GEN,42.64,62.6,no,25.2
1962,40,1,SHETH LALLUBHAI MOTICHAND,INC,21157,KUNDLA,GEN,59.84,57.26,no,14.53
1962,41,1,JHALAVADIA VALABHBHAI BHIMIJI,INC,11423,PALITANA,GEN,46.1,42.62,no,8.05
1962,42,1,DEVENDRABHAI MOTIBHAI DESHAI,INC,15130,BOTAD,GEN,38.07,59.8,no,29.15
1962,43,1,LANI BHOGILAL TULSIDAS,INC,15497,SIHOR,GEN,39.72,59.03,no,30.63
1962,44,1,PRATAPRAI TARACHAND SHAH,PSP,14531,BHAVNAGAR,GEN,51.56,48.82,no,3.01
1962,45,1,KAPASI ZAITUN AHEMADALLI,INC,11083,GHOGHO DASKROI,GEN,41.21,39.29,no,16.36
1962,46,1,GOHIL SHIVBHADRASINHJI KRISHNAKUMARSINHJI,IND,16233,TALAJA DATHA,GEN,43.58,58.85,no,33.3
1962,47,1,JASVANTRAY NANUBHAI MEHTA,PSP,21407,MAHUVA,GEN,48.5,64.25,no,28.5
1962,48,1,PORANIA DEVKARAN JIVANLAL,INC,20044,RADHANPUR,GEN,52.98,68.79,no,52.59
1962,49,1,BHIMJIBHAI JAGANNATHBHAI PATEL,IND,19999,THARAD,GEN,55.32,53.99,no,24.26
